filename,normalized_intensity_sum,width,height,channels,error
"hACE2_Stitched[GFP 469,525]_C4_72hpi.png",1606152551.0,3740,3762,1,
"NvACE2_Stitched[GFP 469,525]_G9_24hpi.png",182741300.0,3752,3759,1,
"NvACE2_Stitched[GFP 469,525]_E8_12hpi.png",4417873.0,3754,3760,1,
"NvACE2_Stitched[GFP 469,525]_B2_12hpi.png",59020393.0,3755,3762,1,
"NvACE2_Stitched[GFP 469,525]_B6_48hpi.png",16158439.0,3759,3771,1,
"NvACE2_Stitched[GFP 469,525]_C6_12hpi.png",1061441.0,3768,3782,1,
"PaACE2_Stitched[GFP 469,525]_E10_48hpi.png",1417060837.0,3778,3758,1,
"hACE2_Stitched[GFP 469,525]_F11_12hpi.png",0.0,3756,3969,1,
"NvACE2_Stitched[GFP 469,525]_B10_12hpi.png",42483629.0,3753,3760,1,
"hACE2_Stitched[GFP 469,525]_B4_24hpi.png",86372090.0,3738,3775,1,
"NvACE2_Stitched[GFP 469,525]_D11_24hpi.png",1208970.0,3749,3774,1,
"PaACE2_Stitched[GFP 469,525]_C4_48hpi.png",1607002269.0,3733,3761,1,
"NvACE2_Stitched[GFP 469,525]_F9_72hpi.png",1301382986.0,3747,3765,1,
"PaACE2_Stitched[GFP 469,525]_B4_12hpi.png",27035885.0,3739,3773,1,
"NvACE2_Stitched[GFP 469,525]_C6_24hpi.png",1139049.0,3769,3764,1,
"NvACE2_Stitched[GFP 469,525]_B10_24hpi.png",1177109475.0,3755,3760,1,
"hACE2_Stitched[GFP 469,525]_F11_24hpi.png",955337.0,3753,3953,1,
"hACE2_Stitched[GFP 469,525]_C4_48hpi.png",1448635835.0,3737,3760,1,
"hACE2_Stitched[GFP 469,525]_B4_12hpi.png",5142375.0,3737,3773,1,
"PaACE2_Stitched[GFP 469,525]_C11_48hpi.png",1526902371.0,3745,3764,1,
"PaACE2_Stitched[GFP 469,525]_B4_24hpi.png",870913050.0,3734,3772,1,
"NvACE2_Stitched[GFP 469,525]_D8_72hpi.png",2015753816.0,3730,3755,1,
