filename,blob_count
"NvACE2_Stitched[GFP 469,525]_F7_12hpi.png",582
"PaACE2_Stitched[GFP 469,525]_E6_12hpi.png",482
"NvACE2_Stitched[GFP 469,525]_G2_12hpi.png",635
"hACE2_Stitched[GFP 469,525]_B7_24hpi.png",927
"PaACE2_Stitched[GFP 469,525]_G3_12hpi.png",382
"hACE2_Stitched[GFP 469,525]_B2_12hpi.png",334
"PaACE2_Stitched[GFP 469,525]_E6_24hpi.png",2762
"hACE2_Stitched[GFP 469,525]_E4_72hpi.png",23925
"NvACE2_Stitched[GFP 469,525]_G8_24hpi.png",7702
"PaACE2_Stitched[GFP 469,525]_B7_72hpi.png",80944
"PaACE2_Stitched[GFP 469,525]_E8_72hpi.png",47094
"PaACE2_Stitched[GFP 469,525]_F6_72hpi.png",50740
"NvACE2_Stitched[GFP 469,525]_C10_48hpi.png",56443
"PaACE2_Stitched[GFP 469,525]_D3_72hpi.png",84045
"NvACE2_Stitched[GFP 469,525]_B3_48hpi.png",87259
"hACE2_Stitched[GFP 469,525]_E10_12hpi.png",0
"PaACE2_Stitched[GFP 469,525]_G4_24hpi.png",4552
"PaACE2_Stitched[GFP 469,525]_C6_24hpi.png",22406
"hACE2_Stitched[GFP 469,525]_G4_12hpi.png",243
"NvACE2_Stitched[GFP 469,525]_E9_24hpi.png",11125
"NvACE2_Stitched[GFP 469,525]_F6_48hpi.png",4191
"NvACE2_Stitched[GFP 469,525]_G6_12hpi.png",0
"PaACE2_Stitched[GFP 469,525]_F11_48hpi.png",32128
"PaACE2_Stitched[GFP 469,525]_B9_48hpi.png",54600
"hACE2_Stitched[GFP 469,525]_G8_24hpi.png",237
"PaACE2_Stitched[GFP 469,525]_G3_48hpi.png",47521
"hACE2_Stitched[GFP 469,525]_C2_48hpi.png",6645
"NvACE2_Stitched[GFP 469,525]_G9_24hpi.png",12036
"PaACE2_Stitched[GFP 469,525]_E3_72hpi.png",48668
"hACE2_Stitched[GFP 469,525]_D3_72hpi.png",12685
"PaACE2_Stitched[GFP 469,525]_G8_48hpi.png",47443
"NvACE2_Stitched[GFP 469,525]_G11_48hpi.png",236
"PaACE2_Stitched[GFP 469,525]_E5_12hpi.png",428
"PaACE2_Stitched[GFP 469,525]_C3_48hpi.png",77021
"NvACE2_Stitched[GFP 469,525]_C6_24hpi.png",245
"hACE2_Stitched[GFP 469,525]_F5_72hpi.png",42567
"NvACE2_Stitched[GFP 469,525]_D11_72hpi.png",251
"PaACE2_Stitched[GFP 469,525]_G7_48hpi.png",49098
"PaACE2_Stitched[GFP 469,525]_D6_72hpi.png",69067
"PaACE2_Stitched[GFP 469,525]_B4_12hpi.png",3666
"NvACE2_Stitched[GFP 469,525]_B2_24hpi.png",44169
"NvACE2_Stitched[GFP 469,525]_E4_48hpi.png",62433
"NvACE2_Stitched[GFP 469,525]_D9_72hpi.png",103918
"PaACE2_Stitched[GFP 469,525]_C9_24hpi.png",31755
"hACE2_Stitched[GFP 469,525]_D7_72hpi.png",26448
"PaACE2_Stitched[GFP 469,525]_E2_24hpi.png",6547
"NvACE2_Stitched[GFP 469,525]_C3_12hpi.png",5363
"hACE2_Stitched[GFP 469,525]_E4_24hpi.png",359
"NvACE2_Stitched[GFP 469,525]_F8_24hpi.png",9408
"NvACE2_Stitched[GFP 469,525]_C5_12hpi.png",5529
"NvACE2_Stitched[GFP 469,525]_C6_12hpi.png",241
"hACE2_Stitched[GFP 469,525]_D4_72hpi.png",67240
"hACE2_Stitched[GFP 469,525]_E10_24hpi.png",580
"hACE2_Stitched[GFP 469,525]_D2_12hpi.png",331
"NvACE2_Stitched[GFP 469,525]_E4_12hpi.png",1009
"NvACE2_Stitched[GFP 469,525]_F2_24hpi.png",6434
"NvACE2_Stitched[GFP 469,525]_F2_72hpi.png",95384
"hACE2_Stitched[GFP 469,525]_E8_24hpi.png",236
"NvACE2_Stitched[GFP 469,525]_G8_48hpi.png",63490
"PaACE2_Stitched[GFP 469,525]_B5_72hpi.png",54637
"PaACE2_Stitched[GFP 469,525]_G11_48hpi.png",33145
"PaACE2_Stitched[GFP 469,525]_B7_48hpi.png",51173
"NvACE2_Stitched[GFP 469,525]_C2_48hpi.png",86268
"hACE2_Stitched[GFP 469,525]_C4_24hpi.png",5205
"hACE2_Stitched[GFP 469,525]_G3_24hpi.png",237
"hACE2_Stitched[GFP 469,525]_D4_12hpi.png",639
"NvACE2_Stitched[GFP 469,525]_D7_72hpi.png",99316
"hACE2_Stitched[GFP 469,525]_D10_24hpi.png",7159
"PaACE2_Stitched[GFP 469,525]_B2_24hpi.png",27234
"NvACE2_Stitched[GFP 469,525]_E5_24hpi.png",6880
"NvACE2_Stitched[GFP 469,525]_C5_24hpi.png",45189
"hACE2_Stitched[GFP 469,525]_F9_12hpi.png",0
"hACE2_Stitched[GFP 469,525]_F3_48hpi.png",236
"hACE2_Stitched[GFP 469,525]_E6_24hpi.png",237
"PaACE2_Stitched[GFP 469,525]_E2_48hpi.png",48941
"NvACE2_Stitched[GFP 469,525]_F3_12hpi.png",712
"NvACE2_Stitched[GFP 469,525]_E4_24hpi.png",13391
"PaACE2_Stitched[GFP 469,525]_F4_48hpi.png",53126
"NvACE2_Stitched[GFP 469,525]_C8_48hpi.png",84717
"NvACE2_Stitched[GFP 469,525]_F4_12hpi.png",1029
"NvACE2_Stitched[GFP 469,525]_D11_24hpi.png",245
"NvACE2_Stitched[GFP 469,525]_F5_72hpi.png",57390
"hACE2_Stitched[GFP 469,525]_B10_72hpi.png",90177
"NvACE2_Stitched[GFP 469,525]_F7_48hpi.png",77701
"PaACE2_Stitched[GFP 469,525]_C7_48hpi.png",48002
"PaACE2_Stitched[GFP 469,525]_E7_72hpi.png",56558
"NvACE2_Stitched[GFP 469,525]_C7_72hpi.png",101189
