filename,blob_count
"PaACE2_Stitched[GFP 469,525]_C11_72hpi.png",70920
"NvACE2_Stitched[GFP 469,525]_D8_48hpi.png",86390
"NvACE2_Stitched[GFP 469,525]_C2_48hpi.png",86268
"NvACE2_Stitched[GFP 469,525]_C2_72hpi.png",105014
"NvACE2_Stitched[GFP 469,525]_F9_48hpi.png",67782
"NvACE2_Stitched[GFP 469,525]_C10_72hpi.png",88403
"NvACE2_Stitched[GFP 469,525]_D5_48hpi.png",65405
"PaACE2_Stitched[GFP 469,525]_D3_48hpi.png",78243
"NvACE2_Stitched[GFP 469,525]_D5_72hpi.png",91477
"PaACE2_Stitched[GFP 469,525]_D3_72hpi.png",84045
"PaACE2_Stitched[GFP 469,525]_B6_72hpi.png",73611
"NvACE2_Stitched[GFP 469,525]_C4_72hpi.png",103732
"PaACE2_Stitched[GFP 469,525]_D8_72hpi.png",79155
"PaACE2_Stitched[GFP 469,525]_C2_72hpi.png",80522
"hACE2_Stitched[GFP 469,525]_D10_72hpi.png",60702
"NvACE2_Stitched[GFP 469,525]_C4_48hpi.png",77863
"PaACE2_Stitched[GFP 469,525]_C2_48hpi.png",60661
"NvACE2_Stitched[GFP 469,525]_F10_48hpi.png",58460
"PaACE2_Stitched[GFP 469,525]_D8_48hpi.png",73366
"NvACE2_Stitched[GFP 469,525]_D3_72hpi.png",74269
"NvACE2_Stitched[GFP 469,525]_C9_72hpi.png",97873
"NvACE2_Stitched[GFP 469,525]_F2_48hpi.png",80946
"NvACE2_Stitched[GFP 469,525]_E7_72hpi.png",90427
"NvACE2_Stitched[GFP 469,525]_D3_48hpi.png",84730
"NvACE2_Stitched[GFP 469,525]_F2_72hpi.png",95384
"NvACE2_Stitched[GFP 469,525]_E7_48hpi.png",75424
"PaACE2_Stitched[GFP 469,525]_D5_48hpi.png",61898
"NvACE2_Stitched[GFP 469,525]_B7_48hpi.png",82865
"PaACE2_Stitched[GFP 469,525]_C5_48hpi.png",62313
"hACE2_Stitched[GFP 469,525]_C5_72hpi.png",79224
"NvACE2_Stitched[GFP 469,525]_D9_48hpi.png",75143
"NvACE2_Stitched[GFP 469,525]_C3_48hpi.png",87242
"NvACE2_Stitched[GFP 469,525]_F8_48hpi.png",62239
"PaACE2_Stitched[GFP 469,525]_C5_72hpi.png",65198
"NvACE2_Stitched[GFP 469,525]_B7_72hpi.png",104677
"NvACE2_Stitched[GFP 469,525]_D9_72hpi.png",103918
"PaACE2_Stitched[GFP 469,525]_C8_48hpi.png",74102
"NvACE2_Stitched[GFP 469,525]_D4_48hpi.png",75692
"PaACE2_Stitched[GFP 469,525]_C8_72hpi.png",79269
"PaACE2_Stitched[GFP 469,525]_D2_72hpi.png",84398
"NvACE2_Stitched[GFP 469,525]_D4_72hpi.png",102094
"PaACE2_Stitched[GFP 469,525]_D9_72hpi.png",60614
"hACE2_Stitched[GFP 469,525]_B10_72hpi.png",90177
"PaACE2_Stitched[GFP 469,525]_C3_72hpi.png",80605
"PaACE2_Stitched[GFP 469,525]_B7_72hpi.png",80944
"NvACE2_Stitched[GFP 469,525]_C5_72hpi.png",86220
"PaACE2_Stitched[GFP 469,525]_C3_48hpi.png",77021
"NvACE2_Stitched[GFP 469,525]_D2_72hpi.png",98607
"NvACE2_Stitched[GFP 469,525]_G7_48hpi.png",77249
"NvACE2_Stitched[GFP 469,525]_C8_48hpi.png",84717
"NvACE2_Stitched[GFP 469,525]_D2_48hpi.png",80236
"NvACE2_Stitched[GFP 469,525]_G7_72hpi.png",92083
"PaACE2_Stitched[GFP 469,525]_B2_72hpi.png",83718
"PaACE2_Stitched[GFP 469,525]_C6_72hpi.png",65676
"NvACE2_Stitched[GFP 469,525]_B4_72hpi.png",92781
"NvACE2_Stitched[GFP 469,525]_B4_48hpi.png",77005
"NvACE2_Stitched[GFP 469,525]_G2_48hpi.png",80127
"NvACE2_Stitched[GFP 469,525]_D7_72hpi.png",99316
"NvACE2_Stitched[GFP 469,525]_B9_72hpi.png",103451
"NvACE2_Stitched[GFP 469,525]_G10_48hpi.png",62993
"NvACE2_Stitched[GFP 469,525]_G2_72hpi.png",101758
"NvACE2_Stitched[GFP 469,525]_D7_48hpi.png",84079
"NvACE2_Stitched[GFP 469,525]_B9_48hpi.png",78703
"NvACE2_Stitched[GFP 469,525]_E3_48hpi.png",64385
"NvACE2_Stitched[GFP 469,525]_B10_48hpi.png",67820
"hACE2_Stitched[GFP 469,525]_B4_72hpi.png",69599
"NvACE2_Stitched[GFP 469,525]_E8_48hpi.png",59972
"NvACE2_Stitched[GFP 469,525]_B2_48hpi.png",85429
"NvACE2_Stitched[GFP 469,525]_G9_48hpi.png",69159
"NvACE2_Stitched[GFP 469,525]_B10_72hpi.png",96603
